City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
299,Lorengau,PG,82.67,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
302,Half Moon Bay,US,81.88,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
307,Moranbah,AU,80.74,few clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
312,Dicabisagan,PH,77.38,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
313,Puerto Escondido,MX,85.03,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
314,Nacala,MZ,75.43,few clouds,-14.5428,40.6728,Nacala Plaza Business Design Hotel
325,Bentiu,SS,76.14,clear sky,9.2333,29.8333,Mandela hôtel
328,Prestea,GH,75.34,broken clouds,5.4327,-2.1428,Garden Hill Hotel
334,Savannah Bight,HN,80.65,clear sky,16.45,-85.85,Villa on Dunbar Rock
339,Kavaratti,IN,80.13,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
341,Samarai,PG,82.62,scattered clouds,-10.6167,150.6667,Nuli Sapi
355,Hervey Bay,AU,80.04,few clouds,-25.2986,152.8535,Shelly Bay Resort
357,Padang,ID,76.42,overcast clouds,-0.9492,100.3543,Mercure Padang
366,Rawson,AR,78.42,clear sky,-43.3002,-65.1023,Hosteria Sampedro
376,Kahului,US,80.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
380,Iquitos,PE,78.84,moderate rain,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
385,Tagusao,PH,79.84,overcast clouds,9.1924,117.8141,Green Villa beach resort
388,Los Algarrobos,PA,84.61,few clouds,8.5,-82.4333,Waterfall Hostel
392,Mahebourg,MU,81.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
393,Santa Fe,AR,77.0,clear sky,-31.6333,-60.7,Conquistador Hotel
400,Samana,DO,78.76,clear sky,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
405,Harper,LR,77.79,scattered clouds,4.375,-7.7169,Screensaver
409,Manggar,ID,78.57,overcast clouds,-2.8833,108.2667,Guest Hotel
411,Brokopondo,SR,75.43,scattered clouds,4.75,-55.1667,Matu Island
412,Cayenne,GF,79.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
415,Santa Cruz,BO,80.65,overcast clouds,-17.8,-63.1667,Aviador Hotel Boutique
418,Ban Phai,TH,75.88,overcast clouds,16.06,102.731,Inpawa Hotel
423,Totness,SR,76.39,broken clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
428,Kualakapuas,ID,77.16,overcast clouds,-3.0091,114.3876,Guest House Izonk
439,Honiara,SB,84.92,light rain,-9.4333,159.95,Heritage Park Hotel
440,San Ramon,US,80.38,clear sky,37.7799,-121.978,San Ramon Marriott
442,Kattivakkam,IN,79.07,clear sky,13.2167,80.3167,Euronova Freezer
443,Lompoc,US,85.78,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
444,Redcliffe,AU,78.33,scattered clouds,-27.2307,153.0973,Redvue Apartments
446,Kyabe,TD,78.93,overcast clouds,9.4515,18.9449,
451,Carutapera,BR,76.51,light rain,-1.195,-46.02,Lidera
452,Saint-Pierre,RE,78.48,clear sky,-21.3393,55.4781,Lindsey Hôtel
454,Barra Patuca,HN,76.62,few clouds,15.8,-84.2833,
457,Vila Velha,BR,75.15,overcast clouds,-20.3297,-40.2925,Quality Suites Vila Velha
460,Pacific Grove,US,85.57,clear sky,36.6177,-121.9166,Lovers Point Inn
