Weather_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
553,Labuhan,ID,-6.8844,112.2051,75.52,93,100,6.98,light rain
554,Hokitika,NZ,-42.7167,170.9667,62.28,48,4,6.62,clear sky
555,Saldanha,ZA,-33.0117,17.9442,66.25,90,0,15.5,clear sky
556,Auki,SB,-8.7676,160.7034,77.36,90,100,3.58,overcast clouds
557,Puerto Ayacucho,VE,5.6639,-67.6236,91.18,48,27,0.58,scattered clouds
558,Moron,AR,-34.6534,-58.6198,76.98,39,0,4.45,clear sky
559,Huambo,AO,-12.7761,15.7392,59.14,79,77,1.57,broken clouds
560,Moanda,GA,-1.5575,13.2178,71.56,94,97,1.99,overcast clouds
561,Garissa,KE,-0.4536,39.6401,76.12,69,27,7.92,scattered clouds
562,Milton,US,34.1322,-84.3007,45.52,35,0,3.0,clear sky
563,Bhum,IN,18.4667,75.6667,66.7,35,25,5.1,scattered clouds
564,Media Luna,CU,20.1419,-77.435,77.18,80,23,8.03,few clouds
565,Puro,PH,12.4841,123.3827,78.73,81,87,10.58,overcast clouds
566,Klaeng,TH,12.7797,101.6483,83.95,100,31,1.86,scattered clouds
567,Bannu,PK,32.9854,70.6027,58.01,37,100,1.48,overcast clouds
568,Victor Harbor,AU,-35.5667,138.6167,80.73,81,55,1.01,broken clouds
569,Kozhva,RU,65.1073,57.0459,3.97,98,94,5.55,overcast clouds
570,Campbell River,CA,50.0163,-125.2446,44.6,81,75,3.44,broken clouds
571,Kangaatsiaq,GL,68.3065,-53.4641,-8.43,95,79,22.15,broken clouds
572,Sola,VU,-13.8833,167.55,83.07,79,75,0.0,broken clouds
573,Antofagasta,CL,-23.65,-70.4,69.08,80,87,6.29,overcast clouds
574,Praia,CV,14.9215,-23.5087,72.14,78,0,14.97,clear sky
575,Vizinga,RU,61.0749,50.1031,4.24,100,97,3.15,overcast clouds
576,Ostersund,SE,63.1792,14.6357,30.65,86,100,13.8,overcast clouds
577,Veraval,IN,20.9,70.3667,65.43,61,2,11.41,clear sky
578,Hammerfest,NO,70.6634,23.6821,18.05,79,75,1.14,light snow
579,Port Hedland,AU,-20.3167,118.5667,84.25,65,10,12.66,clear sky
580,Strezhevoy,RU,60.7333,77.5889,-5.03,95,98,9.48,overcast clouds
581,Cockburn Town,TC,21.4612,-71.1419,78.76,69,20,13.8,few clouds
582,Namatanai,PG,-3.6667,152.4333,83.77,69,99,5.44,overcast clouds
583,Seymchan,RU,62.8833,152.4333,-35.28,98,72,1.16,broken clouds
584,Kazerun,IR,29.6195,51.6541,50.81,45,0,7.31,clear sky
585,Dom Pedro,BR,-4.4833,-44.45,73.02,98,98,3.27,light rain
586,Ramhormoz,IR,31.28,49.6035,58.62,44,0,4.27,clear sky
587,Lazaro Cardenas,MX,17.9583,-102.2,81.95,59,75,6.2,broken clouds
588,Oranjemund,NA,-28.55,16.4333,64.69,89,0,9.46,clear sky
589,Lucapa,AO,-8.4192,20.7447,65.07,99,100,3.89,light rain
590,Taltal,CL,-25.4,-70.4833,68.4,76,20,4.59,few clouds
591,Sol-Iletsk,RU,51.1631,54.9918,15.62,95,98,9.44,overcast clouds
592,Mayo,US,38.8876,-76.5119,34.21,65,100,10.36,overcast clouds
593,Bollnas,SE,61.3482,16.3946,39.38,86,100,11.21,overcast clouds
594,Ndjole,GA,-0.1783,10.7649,74.52,96,99,2.01,overcast clouds
595,Wasilla,US,61.5814,-149.4394,33.78,89,100,1.01,light snow
596,South Venice,US,27.0531,-82.4243,66.24,86,20,19.57,few clouds
597,Ortakoy,TR,38.7373,34.0387,23.25,92,100,2.06,overcast clouds
598,Te Anau,NZ,-45.4167,167.7167,64.62,49,59,1.05,broken clouds
599,Omboue,GA,-1.5746,9.2618,77.86,86,98,5.01,overcast clouds
600,Bomet,KE,-0.7813,35.3416,56.82,80,100,3.18,overcast clouds
601,Peniche,PT,39.3558,-9.3811,55.62,90,5,15.39,clear sky
602,Bianzhuang,CN,34.8486,118.0447,42.03,66,100,6.31,overcast clouds
603,Grand Gaube,MU,-20.0064,57.6608,81.37,77,94,11.01,overcast clouds
604,Buenos Aires,AR,-34.6132,-58.3772,76.96,37,0,5.75,clear sky
605,Muli,MV,2.9167,73.5667,81.63,76,100,8.72,overcast clouds
606,Vagamo,NO,61.8751,9.0967,23.76,95,99,2.89,overcast clouds
607,Bilma,NE,18.6853,12.9164,65.53,13,0,6.98,clear sky
608,Vasai,IN,19.47,72.8,73.49,62,2,4.43,clear sky
609,Puerto Leguizamo,CO,-0.1934,-74.7819,77.16,84,100,4.16,moderate rain
610,Abha,SA,18.2164,42.5053,49.82,43,0,0.0,clear sky
611,Akom,CM,2.6678,12.7109,68.72,86,80,4.18,broken clouds
612,Naze,JP,28.3667,129.4833,58.12,85,100,17.92,light rain
613,Tipuani,BO,-15.5648,-68.0185,69.37,97,98,1.1,overcast clouds
614,Dudinka,RU,69.4058,86.1778,-15.7,90,12,6.8,few clouds
615,Meulaboh,ID,4.1363,96.1285,76.32,87,96,4.25,overcast clouds
616,Latehar,IN,23.75,84.5,49.37,40,2,2.1,clear sky
617,Finote Selam,ET,10.7,37.2667,62.94,38,86,2.19,overcast clouds
618,Chase,CA,50.8165,-119.6857,42.08,93,80,3.11,broken clouds
619,Anuradhapura,LK,8.3565,80.4173,69.46,95,80,4.76,broken clouds
620,Katima Mulilo,NA,-17.5,24.2667,66.06,82,3,4.07,clear sky
621,San Francisco,US,37.7749,-122.4194,81.25,52,7,5.01,clear sky
622,San Sebastian,ES,43.3128,-1.975,61.45,71,0,16.11,light rain
